date_scraped,listing_type,expose_url,title,street,zipcode,cold_rent,warm_rent,rooms,square_meter,house_type,floor,year_built,object_condition,heating_type,pets_allowed,has_parking
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117950097,Erstbezug - Gut geschnittene 2-Zimmerwohnung mit EBK und Balkon in Berlin Friedrichshain!,"Pauline-Staegemann-Str. 6,","10249 Berlin, Friedrichshain (Friedrichshain)",1090,1240,2,"42,45",Etagenwohnung,8 von 9,2020,Erstbezug,Fernwärme,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/94889983,1-Zimmerwohnung mit Balkon in Tiergarten,"Agricolastraße 24,","10555 berlin, Tiergarten (Tiergarten)","560,04","716,04",1,"56,01",,3 von 6,1973,Gepflegt,Zentralheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/108932407,Mittendrin statt nur dabei - Dachgeschosswohnung unweit des Potsdamer Platzes,"Leipziger Straße 127-128,","10117 Berlin / Mitte, Mitte (Mitte)","1906,20","2277,91",2,"95,31",Dachgeschoss,6 von 7,2005,Erstbezug,Zentralheizung,,1 Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/108979018,Wohnung mit Aufdachterrasse in bester City-Lage,"Leipziger Straße 127-128,","10117 Berlin / Mitte, Mitte (Mitte)","5736,80","6855,48",5,"286,84",Dachgeschoss,7,2005,Erstbezug,Zentralheizung,,1 Tiefgaragen-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/111037653,Wohnen am Paul-Linke-Ufer! Schöne möblierte 1 - Zimmer Wohnung 1200€ All-Inclusive,"Manteuffelstraße 68,","10999 Berlin, Kreuzberg (Kreuzberg)",950,950,1,39,Etagenwohnung,3 von 4,1900,Vollständig renoviert,,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/112815843,Exklusive Wohnung mit Terrasse im Herzen von Berlin,,"10785 Berlin, Tiergarten (Tiergarten)",2050,2580,3,"105,4",Terrassenwohnung,4 von 10,2018,Erstbezug,Fernwärme,Nach Vereinbarung,1 Parkhaus-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/114041689,Residieren im eleganten „Haus Bellevue“!,"Neustädtische Kirchstraße 7,","10117 Berlin, Mitte (Mitte)",1500,2000,3,98,Sonstige,1 von 6,2003,,Fußbodenheizung,,1 Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117216011,"Stilvolle, elegante 1,5-Zimmer-Wohnung mit Balkon und Einbauküche in Tiergarten, Berlin","Klopstockstraße 2,","10557 Berlin, Tiergarten (Tiergarten)",850,995,1,42,Etagenwohnung,14 von 16,,Gepflegt,Zentralheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118950436,"Schöne, geräumige vier Zimmer Altbauwohnung - Erstbezug nach Komplettsanierung","Planckstraße 24,","10117 Berlin, Mitte (Mitte)",1950,2250,4,122,Etagenwohnung,2 von 4,,Erstbezug nach Sanierung,Zentralheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/110631878,Penthouse mit unverbaubarem Weitblick,"Walter-Friedländer-Straße 19,","10249 Berlin, Prenzlauer Berg (Prenzlauer Berg)",1850,2250,3,163,Penthouse,4 von 4,1890,Neuwertig,Fernwärme,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/115709190,"Erstbezug mit EBK und Balkon: möbliertes 1-Zimmer-Apartment in Neukölln, Berlin","Silbersteinstraße 54,","12051 Berlin, Neukölln (Neukölln)",638,759,1,22,Etagenwohnung,4 von 5,2019,Erstbezug,Blockheizkraftwerke,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118713562,Tolle Wohnung am Mauerpark,"Kopenhagnerstr. 38A,","10437 Berlin, Prenzlauer Berg (Prenzlauer Berg)",1980,2348,4,132,Etagenwohnung,1 von 5,2014,Neuwertig,Blockheizkraftwerke,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118927813,"2-Zi.-Whg, in toller Lage in Friedrichshain, Stralauer Allee 22a","Stralauer Allee 22A,","10245 Berlin, Friedrichshain (Friedrichshain)",930,1100,2,55,Etagenwohnung,3 von 5,1986,Vollständig renoviert,Fernwärme,Ja,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/105602344,"Saniertes 3 Zimmer Apartment, Südseite mit Balkon, Vollmöbliert","Gerichtstrasse 19,","13347 Berlin, Wedding (Wedding)",1000,1250,3,70,Dachgeschoss,5 von 5,1908,Erstbezug nach Sanierung,Zentralheizung,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118580096,"Neuwertige 1,5-Zimmer-Wohnung mit Balkon und Einbauküche in Berlin, Friedrichshain","Erich-Nehlhans-Straße 25,","10247 Berlin, Friedrichshain, Friedrichshain (Friedrichshain)",960,1085,"1,5",48,Etagenwohnung,3 von 5,2018,Neuwertig,Fußbodenheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/102642677,"Top Lage, sehr sonnige Wohnung, möbliert - fully furnished, sunny flat in top location","Strelitzer Str. 28,","10115 Berlin, Mitte (Mitte)",1200,1390,2,52,Etagenwohnung,1 von 4,1999,Vollständig renoviert,Fernwärme,Nach Vereinbarung,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118588131,"Möblierte 2 Zimmer Altbauwohnung in Berlin-Mitte mit Balkon und Garten, befristet (6-12 Monate)",,"10115 Berlin, Mitte (Mitte)",1250,1250,2,73,Etagenwohnung,3 von 4,1859,,Zentralheizung,Ja,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117007034,"Schöne, geräumige vier Zimmer Wohnung in Berlin, Prenzlauer Berg","Danziger Str. 73,","10435 Berlin, Prenzlauer Berg (Prenzlauer Berg)",2995,"3625,86",4,"168,23",Maisonette,4 von 5,,,Fußbodenheizung,Ja,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117007825,"Über den Dächern von Prenzlauer Berg, Erstbezug!",,"10439 Berlin, Prenzlauer Berg (Prenzlauer Berg)","3075,15","3195,15",4,"161,85",Dachgeschoss,5 von 5,1910,Erstbezug,Etagenheizung,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/112070438,"Ruhige Lage in Parknähe, stilvoll möbliert, große Süd-Terrasse, Prenzlauer Berg, Berlin","Am Märchenbrunnen 5,","10407 Berlin, Prenzlauer Berg (Prenzlauer Berg)",1150,1350,"1,5",50,Terrassenwohnung,0 von 5,2019,Neuwertig,Fußbodenheizung,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118145849,Zentrale Lage,"Köpenicker Straße 43,","10179 Berlin, Mitte (Mitte)",749,749,1,22,,5 von 5,,,,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/116808943,Attraktive 3-Raum-Wohnung in Berlin-Wedding,"Voltastrasse 2,","13355 Berlin, Wedding (Wedding)",1200,1575,3,98,Hochparterre,,,Gepflegt,,Nach Vereinbarung,1 Parkhaus-Stellplatz
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118836582,"Schöne 2-Zimmer-Wohnung mit 2 Balkonen in Wedding, Berlin, Besichtigung 31.05.20 12:15 Uhr","Fehmarner Str. 20,","13353 Berlin, Wedding (Wedding)","648,27","797,37",2,"64,83",Etagenwohnung,3 von 4,1900,,,,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/118093692,"Frisch renovierte, schöne Altbauwohnung in ruhiger Gegend",,"10247 Berlin, Friedrichshain (Friedrichshain)",950,1350,2,67,Sonstige,1 von 5,,Erstbezug nach Sanierung,,Nein,
01/06/2020,Wohnung mieten,https://www.immobilienscout24.de/expose/117011484,"Ansprechende 2-Zimmer-Wohnung mit Einbauküche und Balkon in Mitte, Berlin","Kommandanten Str 79,","10117 Berlin, Mitte (Mitte)",1248,1383,2,54,Etagenwohnung,4 von 7,2015,Neuwertig,Fernwärme,Nach Vereinbarung,1 Tiefgaragen-Stellplatz
